CustomerID,Name,Gender,Age,Country,AnnualIncome,PurchaseCount
1,Allison Hill,Female,56,Reunion,27190,18
2,Noah Rhodes,Male,69,Bahamas,108607,88
3,Angie Henderson,Male,46,Iraq,58333,72
4,Daniel Wagner,Male,32,Tokelau,141929,30
5,Cristian Santos,Female,60,Wallis and Futuna,100905,44
6,Connie Lawrence,Female,25,Luxembourg,109571,53
7,Abigail Shaffer,Female,78,Dominica,140263,10
8,Gina Moore,Male,38,United Arab Emirates,21589,87
9,Gabrielle Davis,Male,56,Iraq,144467,52
10,Ryan Munoz,Male,75,Malaysia,45235,49
11,Monica Herrera,Male,36,Slovakia (Slovak Republic),20159,11
12,Jamie Arnold,Female,40,Sri Lanka,32145,66
13,Lisa Hensley,Male,28,Cameroon,100909,58
14,Michele Williams,Male,28,Tokelau,51921,90
15,Dylan Miller,Female,41,Somalia,124859,36
16,Brian Ramirez,Female,70,American Samoa,36237,33
17,Holly Wood,Male,53,Haiti,127507,47
18,Derek Zuniga,Female,57,Serbia,28244,13
19,Lisa Jackson,Female,41,Afghanistan,34743,40
20,Carla Gray,Male,20,Honduras,117102,89
21,Margaret Hawkins DDS,Female,39,Mauritania,66101,68
22,Patty Perez,Female,70,Cambodia,131645,42
23,Ethan Adams,Male,19,Belize,141534,19
24,Tommy Walter,Male,41,Palestinian Territory,104227,82
25,Matthew Foster,Female,61,Tajikistan,119532,94
26,Judy Baker,Male,47,Chile,76378,19
27,Justin Baker,Male,55,Cocos (Keeling) Islands,91126,58
28,Stephanie Ross,Male,19,Czech Republic,76071,23
29,Zachary Hicks,Female,77,Niue,91121,54
30,Anthony Rodriguez,Female,38,Guernsey,94763,80
31,Rebecca Henderson,Female,50,Greece,113814,65
32,James Ferrell,Female,29,Peru,124350,12
33,Tricia Valencia,Female,75,Cayman Islands,32237,24
34,Nathan Maldonado,Non-Binary,39,Benin,35649,34
35,Debra Davidson,Male,78,India,57713,53
36,Jeffrey Chavez,Female,61,Philippines,93463,8
37,Sherri Baker,Female,42,Tunisia,65409,18
38,Cassandra Gaines,Female,66,Palestinian Territory,68766,57
39,Elizabeth Fowler,Female,44,Haiti,66154,5
40,Brittany Farmer,Female,76,American Samoa,27016,26
41,Paula Moreno,Female,59,Singapore,99563,30
42,Fred Smith,Male,45,Grenada,68688,54
43,Sherry Decker,Male,77,Mauritania,109678,13
44,Anthony Humphrey,Male,33,Kiribati,132056,83
45,Angelica Tucker,Male,32,Vietnam,74238,29
46,Philip Cannon,Male,79,Bosnia and Herzegovina,78608,3
47,John Pierce,Male,79,Poland,109081,90
48,Shane Henderson,Male,64,Estonia,136572,58
49,Joshua Blair,Female,79,Iraq,51897,76
50,Eric Carney,Male,68,Mongolia,70961,2
51,Jessica Holmes,Male,61,Canada,88703,75
52,Danny Morgan,Male,72,Saint Martin,64757,28
53,Crystal Robinson,Male,69,Barbados,46917,82
54,Mark Perez,Female,74,Maldives,42736,77
55,Shannon Jones,Female,20,Pakistan,47990,86
56,Michael Lewis,Female,54,Sierra Leone,82551,76
57,Timothy Duncan,Male,68,Vietnam,78161,2
58,Richard Aguirre,Female,24,China,99623,7
59,Brent Jordan,Male,38,Barbados,42440,26
60,John Daniel,Male,26,Montenegro,55205,90
61,Victoria Garcia,Non-Binary,56,Burundi,141156,88
62,Gerald Hensley,Female,35,Greece,100811,76
63,Connor West,Female,21,Mongolia,143768,16
64,Donald Wright,Female,42,Indonesia,75103,23
65,Jessica Callahan,Female,77,Korea,90812,40
